paper_id,seq_id,Title,Authors,Year,Venue,Search_String,Link
SB4IW9O3,1,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid - European Conference on Software …, 2025",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-032-04288-0_3
QU6B84SC,2,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"S Karpurapu, S Myneni, U Nettur, LS Gajja… - IEEE …, 2024",2024.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10506519/
WOC0T7ET,3,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria… - 2025 IEEE/ACM …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11081451/
LKNGKMP4,4,First experiments on automated execution of gherkin test specifications with collaborating llm agents,"S Bergsmann, A Schmidt, S Fischer… - … on automating test case …, 2024",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3678719.3685692
10.48550/arXiv.2603.04729,5,Behaviour Driven Development Scenario Generation with Large Language Models,"A Rathnayake, M Shahin, G Abaei - arXiv preprint arXiv:2603.04729, 2026",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2603.04729
10.48550/arXiv.2510.18861,6,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"PL Fonseca, B Lima, JP Faria - arXiv preprint arXiv:2510.18861, 2025",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.18861
SS5Q645I,7,A Comparative Study of LLMs for Gherkin Generation,"H Fernandes, M Perkusich, D Albuquerque… - Simpósio Brasileiro de …, 2025",2025.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/36996
N477MKGG,8,Increasing test coverage by automating bdd tests in proofs of concepts (pocs) using llm,"SRR Santos, RES Fernandes, MCB Santos… - Proceedings of the XXIII …, 2024",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3701625.3701637
Z3Q4ASK9,9,Comparative analysis of large language model tools for automated test data generation from bdd,"I Mendoza, F Silva Filho, G Medeiros, A Paes… - Simpósio Brasileiro de …, 2024",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30369
ORE16MJ7,10,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,N Tesfalidet,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.diva-portal.org/smash/record.jsf?pid=diva2:2013656
2B1BDXVP,11,Automated Test Generation Using LLM Based on BDD: A Comparative Study,"SRR dos Santos, LFC dos Santos, MVS Silva…",,scitepress.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.scitepress.org/Papers/2025/136836/136836.pdf
N477MKGG,12,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,S Marczak,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Shexmo-Santos/publication/387310929_Increasing_Test_Coverage_by_Automating_BDD_Tests_in_Proofs_of_Concepts_POCs_using_LLM/links/694559679aa6b4649dc23bf4/Increasing-Test-Coverage-by-Automating-BDD-Tests-in-Proofs-of-Concepts-POCs-using-LLM.pdf
DKYZ6WW3,13,Agentic AI for Behavior-Driven Development Testing Using Large Language Models.,"C Paduraru, M Zavelca, A Stefanescu - ICAART (2), 2025",2025.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Ciprian-Paduraru/publication/389451796_Agentic_AI_for_Behavior-Driven_Development_Testing_Using_Large_Language_Models/links/68610f6a92697d42903bc3bf/Agentic-AI-for-Behavior-Driven-Development-Testing-Using-Large-Language-Models.pdf
WO2V9EKU,14,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"SB Patel, S Nigam, S Mahale - 2025 IEEE International …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11351772/
U8AOM2HY,15,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Y Hachaïchi, MA Ouerghi - 2025 IEEE 22nd International …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11364940/
J8RMZF7E,16,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"LI Matveeva, V Kunštár, K Jelemenská… - 2025 5th International …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11277590/
ZEBQ5UX3,17,[CITATION][C] Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"SK Tiwari - Frontiers in Emerging Computer Science and …, 2025",2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",
SN46M5PY,18,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL INTELLIGENCE,K Dhir,,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Kunal-Dhir-3/publication/398301951_AUGMENTING_SOFTWARE_TESTING_AND_AUTOMATION_THROUGH_BEHAVIOR-DRIVEN_DEVELOPMENT_BDD_AND_ARTIFICIAL_INTELLIGENCE/links/69308c5b06a9ab54f8439bf2/AUGMENTING-SOFTWARE-TESTING-AND-AUTOMATION-THROUGH-BEHAVIOR-DRIVEN-DEVELOPMENT-BDD-AND-ARTIFICIAL-INTELLIGENCE.pdf
HBHMFIQ6,19,THESIS/THÈSE,M GALLOY,,pure.unamur.be,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://pure.unamur.be/ws/portalfiles/portal/98848381/2024_GalloyM_Memoire.pdf
S2DQOSB9,20,Guidelines for the adoption of behavior-driven development (BDD): an approach with design science research,SRR Santos,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ri.ufs.br/handle/riufs/22538
10.48550/arXiv.2501.15181,21,From bugs to benefits: Improving user stories by leveraging crowd knowledge with cruise-ac,"S Schwedt, T Ströder - arXiv preprint arXiv:2501.15181, 2025",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2501.15181
BDTZH0AX,22,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"SRR dos Santos, MVS Silva, MCB dos Santos…",,scitepress.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.scitepress.org/Papers/2025/136817/136817.pdf
10.48550/arXiv.2510.14509,23,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,"J Liu, C Huang, Z Guan, W Lei, Y Deng - arXiv preprint arXiv:2510.14509, 2025",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.14509
N7SY5JRJ,24,An Experiment with Focus on Security Through Large-Language Models Using Behavior-Driven Development,"S Santos, T Pimentel, M Silva, L Santos, F Rocha…",2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.preprints.org/manuscript/202509.1860/download/final_file
3YLFT8Y2,25,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments.,"FA Almeyda Alania… - International …, 2025",2025.0,search.ebscohost.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2158107X&AN=190677643&h=kWPbz51ClNDi4o3UrVz%2BIJwxbe2JFh8HyA%2FpAme%2FSXFC3cjcURY%2FEZCNkXbpd44yc94zl7lfyrPOD%2FVmmHbesQ%3D%3D&crl=c
9PN76X3F,26,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://trepo.tuni.fi/bitstream/handle/10024/234400/GronbergToni.pdf?sequence=2
MNFTGFJ1,27,Benchmarking AI-Facilitated UI Test-Script Generation: A Reproducible Evaluation Framework,"A Poth, O Rrjolli, H Wang - European Conference on Software Process …, 2025",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-032-04288-0_9
PINM8PJS,28,Exploring behavior-driven development for code generation,"Y Liang, C Gan, R Ying, Z Cui - International Conference on Intelligent …, 2025",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-981-95-0014-7_4
CN0B3I6L,29,"Selfbehave, generating a synthetic behaviour-driven development dataset using self-instruct","M Galloy, M Balfroid, B Vanderose… - … on Software Testing …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10962479/
XXBY8VH2,30,Augmenting software quality assurance with AI and automation using PyTest-BDD,"X Zhao, H Wang, JQ Ding, Z Hu, Q Tian… - Automated Software …, 2026",2026.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/article/10.1007/s10515-025-00566-w
S08EFWOI,31,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"JG Santos, RSP Maciel - … Brasileiro de Engenharia de Software (SBES …, 2024",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30424
YAX4Z05U,32,Exploring Behavior-Driven Development,"Y Liang, C Gan, R Ying, Z Cui - … ICIC 2025, Ningbo, China, July 26 …, 2025",2025.0,books.google.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://books.google.com/books?hl=en&lr=&id=N9BzEQAAQBAJ&oi=fnd&pg=PA41&dq=(%22Gherkin%22+OR+%22BDD%22+OR+%22behavior-driven%22)+AND+(%22generation%22+OR+%22automated%22)+AND+(%22LLM%22+OR+%22GPT%22+OR+%22large+language+model%22)+AND+(%22user+story%22+OR+%22acceptance+test%22+OR+%22test+case%22)&ots=DoLsXVxBQd&sig=Nehi4JOuqUr1kGJ02ELWWRFhau8
DM6E6UVS,33,Use of chatgpt as an assistant in the end-to-end test script generation for android apps,"B García, M Leotta, F Ricca, J Whitehead - … on Automating Test Case …, 2024",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3678719.3685691
